tmk,lot_size_req,depth_to_wt_suitability,sma_constraints,climate_suitability,slope_req,in_flood_zone,in_sma,coast_within_100_ft,stream_within_50_ft
211003003,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003006,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003012,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003030,"Between 10,000 and 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope greater than 12%,0,1,0,0
211003031,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope greater than 12%,0,1,0,0
211003041,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,0,1,0,0
211003053,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,0,1,0,0
211003057,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,0,1,0,0
211003058,"Between 10,000 and 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003059,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003061,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003068,"Greater than 21,000 sqft",Between 3 and 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,1,0
211003070,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003072,"Greater than 21,000 sqft",,Within 50 ft,Hydric,,1,1,0,0
211003073,"Greater than 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003089,"Between 10,000 and 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
211003090,"Between 10,000 and 21,000 sqft",Greater than 6 ft,Within 50 ft,Hydric,Slope less than 8%,1,1,0,0
